case,legacy_case,TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,Time_1,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,absPy_mean_norm,Py_mean_norm,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,is_loading,pred_M1_linear_sep,resid_pred_M1_linear_sep,pred_M1_quadratic_sep,resid_pred_M1_quadratic_sep,pred_M2_common,resid_pred_M2_common,pred_M3_structure,resid_pred_M3_structure,pred_M4_common_Ae,resid_pred_M4_common_Ae,pred_M5_common_AM,resid_pred_M5_common_AM,pred_M6_cross_from_Ref,resid_pred_M6_cross_from_Ref
90DW,twin,630000,31.3775,0.00781403,-0.01255098,0.003993426,0.010483969,-0.669230749,0.006974201,-4.787965404,18.78080822,-0.015183125,-0.183,0.0554,-0.00067,-0.21,-0.15,0.00825,6.8e-05,-0.00699,0.103,0.015,0.000225,-0.205,0.203,0.174,0.0303,0.183,0.0554,0.174,0.259,0.0,630000.0,0.01255098,0.669230749,0.0032941599999999995,0.05739477328119695,0.16707206978749298,0.832927930212507,0.3957142857142857,0.3957142857142857,0.6142339850909092,0.05499676390909081,0.036858856438445026,0.12434306483430783,True,0.7993254385138522,-0.13009468951385217,0.6954680813875754,-0.02623733238757542,0.6952420938265356,-0.026011344826535554,0.6565178324060279,0.012712916593972112,0.6510899843090495,0.018140764690950495,0.6544579393997111,0.014772809600288928,0.8177347202810996,-0.1485039712810996
90DW,twin,640000,31.8775,0.008255251,-0.01275098,0.003705177,0.010560999,-0.624111367,0.004187201,-5.05951744,17.90699839,0.025939588,-0.187,0.0458,0.000832,-0.214,-0.159,0.00831,6.91e-05,-0.0175,0.0868,0.0169,0.000284,-0.203,0.204,0.174,0.0303,0.187,0.0459,0.174,0.26,0.0,640000.0,0.01275098,0.624111367,0.00238164,0.0488020491373057,0.120791195415124,0.879208804584876,0.32785714285714285,0.3271428571428571,0.6213821303636364,0.0027292366363635967,0.03550057017613939,0.08721703077190965,True,0.8120626978914284,-0.18795133089142835,0.715035889854778,-0.09092452285477792,0.6207328355631476,0.0033785314368524055,0.5979736566209928,0.02613771037900725,0.589389486329028,0.03472188067097204,0.5948855821769117,0.029225784823088352,0.7574989680403994,-0.13338760104039937
90DW,twin,650000,32.3775,0.008534247,-0.01295098,0.003680115,0.011365788,-0.562165523,0.005125792,-5.241955257,16.71115393,-0.009879258,-0.186,0.033,-0.000999,-0.217,-0.159,0.00781,6.1e-05,-0.0443,0.0853,0.0185,0.000344,-0.199,0.2,0.175,0.0306,0.186,0.0338,0.174,0.258,0.0,650000.0,0.01295098,0.562165523,0.0014330000000000002,0.037854986461495405,0.07267839935081402,0.927321600649186,0.24142857142857138,0.2357142857142857,0.6234502061818182,-0.061284683181818234,0.03953151108566617,0.1771734456902386,True,0.8247999572690046,-0.26263443426900457,0.734869890165487,-0.17270436716548698,0.5414735268764413,0.020691996123558654,0.5355997243214401,0.026565798678559904,0.5236888591990656,0.038476663800934396,0.5314282270636256,0.03073729593637442,0.693197001708052,-0.13103147870805198
90DW,twin,660000,32.8775,0.008402538,-0.01315098,0.004038944,0.00911762,-0.595098495,0.005885985,-5.157615289,16.51100625,-0.006032402,-0.186,0.0372,-1.26e-05,-0.213,-0.161,0.00806,6.49e-05,-0.0605,0.0858,0.0224,0.000501,-0.205,0.202,0.176,0.0308,0.186,0.0398,0.175,0.26,0.0,660000.0,0.01315098,0.595098495,0.0018848399999999996,0.04341474403932378,0.09559466450271337,0.9044053354972866,0.28428571428571425,0.2657142857142857,0.6372267790909092,-0.042128284090909185,0.03925594287187143,0.19302706157086355,True,0.8375372166465805,-0.24243872164658054,0.754970082319702,-0.15987158731970197,0.646387823307355,-0.051289328307355,0.6217168607774796,-0.026618365777479558,0.6130851554331445,-0.017986660433144452,0.6186038134140228,-0.023505318414022813,0.7865542687940428,-0.19145577379404277
90DW,twin,670000,33.3775,0.008471043,-0.01335098,0.004164227,0.011246135,-0.670168442,0.004907413,-5.123058576,17.25378146,0.01823125,-0.186,0.0448,0.000658,-0.212,-0.159,0.00773,5.98e-05,-0.0314,0.0859,0.015,0.000225,-0.202,0.205,0.176,0.0309,0.186,0.0449,0.175,0.26,0.0,670000.0,0.01335098,0.670168442,0.00223204,0.04724447057593089,0.11320383425470404,0.886796165745296,0.3207142857142857,0.31999999999999995,0.6552177957272728,0.014950646272727242,0.03748960629940781,0.09435904527931793,True,0.8502744760241567,-0.1801060340241567,0.7753364663174235,-0.10516802431742345,0.7375411763192217,-0.06737273431922164,0.6967391544406306,-0.026570712440630584,0.6908930376514478,-0.020724595651447797,0.6945245221547721,-0.024356080154772086,0.8681316731294808,-0.19796323112948078
90DW,twin,680000,33.8775,0.00867144,-0.01355098,0.004077655,0.010586391,-0.702912405,0.004680551,-5.192193977,17.13325224,-0.019157234,-0.187,0.0405,-0.00106,-0.217,-0.157,0.00767,5.88e-05,-0.0203,0.0902,0.0152,0.000231,-0.201,0.203,0.175,0.0307,0.187,0.0406,0.175,0.26,0.0,680000.0,0.01355098,0.702912405,0.00187125,0.04325794724671988,0.09490541157376882,0.9050945884262311,0.29,0.28928571428571426,0.668400318818182,0.034512086181818,0.036640480063604486,0.1364553656395415,True,0.8630117354017329,-0.16009933040173296,0.7959690421586513,-0.09305663715865131,0.7355885437495561,-0.032676138749556105,0.6966941913287671,0.006218213671232875,0.6902941802001327,0.012618224799867295,0.6942951850349076,0.008617219965092349,0.8700070034132725,-0.16709459841327257
90DW,twin,690000,34.3775,0.00882973,-0.01375098,0.004155363,0.009680803,-0.679854515,0.006266402,-5.300450582,16.19201239,0.008375126,-0.188,0.0267,0.00039,-0.213,-0.162,0.00781,6.11e-05,-0.044,0.0754,0.02,0.000401,-0.202,0.203,0.174,0.0304,0.188,0.0289,0.174,0.259,0.0,690000.0,0.01375098,0.679854515,0.0011138900000000002,0.03337499063670281,0.05649388852259472,0.9435061114774053,0.2064285714285714,0.1907142857142857,0.6794202011818182,0.0004343138181818196,0.03277072904497278,0.13022309397219886,True,0.8757489947793089,-0.19589447977930885,0.8168678098433853,-0.1370132948433852,0.6814839871384939,-0.0016294721384938482,0.654601428079518,0.025253086920482004,0.6457769612595581,0.03407755374044197,0.6514115396805422,0.02844297531945783,0.8272384100446657,-0.14738389504466565
90DW,twin,700000,34.8775,0.008947421,-0.01395098,0.004338068,0.010945227,-0.632658192,0.004796789,-5.396849649,13.42163293,0.013514745,-0.189,-0.00179,0.000336,-0.226,-0.162,0.00802,6.43e-05,-0.0757,0.0696,0.0257,0.00066,-0.209,0.21,0.178,0.0315,0.189,0.0212,0.177,0.261,0.0,700000.0,0.01395098,0.632658192,0.0006632041,0.025752749367785956,0.03363615661611807,0.9663638433838819,0.1514285714285714,-0.012785714285714284,0.6980918148181818,-0.06543362281818188,0.032766649564857864,0.07433491286475197,True,0.8884862541568851,-0.25582806215688514,0.8380327693716257,-0.2053745773716258,0.6677093706859506,-0.035051178685950646,0.6450249198775809,-0.012366727877580974,0.6352225332088471,-0.0025643412088471873,0.6415131720550468,-0.008854980055046813,0.818993696713803,-0.186335504713803
90DW,twin,710000,35.3775,0.009029669,-0.01415098,0.004401897,0.010760551,-0.706634232,0.004261829,-5.370269585,11.57377768,-0.022344497,-0.188,-0.0178,-0.00081,-0.217,-0.162,0.00787,6.2e-05,-0.076,0.0709,0.0246,0.000607,-0.204,0.201,0.176,0.0311,0.188,0.0258,0.176,0.26,0.0,710000.0,0.01415098,0.706634232,0.00092384,0.030394736386420592,0.04685499822488207,0.953145001775118,0.18428571428571427,-0.12714285714285714,0.7251157486363636,-0.01848151663636366,0.027090807210313993,0.09045587364893728,True,0.9012235135344613,-0.1945892815344613,0.8594639207433723,-0.15282968874337233,0.7474788964594684,-0.04084466445946844,0.7108689348613747,-0.004234702861374728,0.7034438268405396,0.003190405159460341,0.7081232123048816,-0.0014889803048816486,0.8908261352892524,-0.1841919032892524
90DW,twin,720000,35.8775,0.009200999,-0.01435098,0.004374059,0.010418794,-0.740056186,0.004982438,-5.433507472,10.97384823,0.00365882,-0.19,-0.0241,0.000788,-0.217,-0.162,0.00784,6.15e-05,-0.0755,0.0362,0.0199,0.000396,-0.2,0.202,0.175,0.0307,0.19,0.0266,0.175,0.26,0.0,720000.0,0.01435098,0.740056186,0.0009768099999999998,0.03125395974912619,0.049541512400466586,0.9504584875995334,0.18999999999999997,-0.17214285714285713,0.7516729921818183,-0.011616806181818262,0.024080452525145367,0.15803372998519796,True,0.9139607729120374,-0.17390458691203736,0.8811612639586252,-0.14110507795862515,0.7999388016293394,-0.059882615629339386,0.754694405178274,-0.014638219178274015,0.7486670468277491,-0.00861086082774909,0.752397106834175,-0.01234092083417504,0.9392805558986259,-0.1992243698986259
90DW,twin,730000,36.3775,0.009353895,-0.01455098,0.004422578,0.010744482,-0.769513401,0.005206806,-5.491757587,11.85795799,0.002923998,-0.19,-0.00651,-0.000312,-0.216,-0.163,0.00785,6.16e-05,-0.0721,0.071,0.0265,0.000702,-0.206,0.201,0.176,0.031,0.19,0.023,0.176,0.261,0.0,730000.0,0.01455098,0.769513401,0.0007443801,0.027283330075340877,0.03775321296343257,0.9622467870365674,0.16428571428571426,-0.0465,0.7751883373636366,-0.005674936363636585,0.023655736332530753,0.19879921359792754,True,0.9266980322896134,-0.15718463128961346,0.9031247990173844,-0.13361139801738442,0.8148664832164331,-0.04535308221643308,0.7682592961411383,0.001254104858861682,0.762283498836548,0.0072299021634519844,0.7659739357642162,0.0035394652357837453,0.9556060425341699,-0.18609264153416993
