TimeStep PE_total KE_total ETOT
# Fix print output for fix energy_init
0 -231110.648097497 8.05567130683244 -231102.59242619
# Fix print output for fix energy_out
326000 -231113.549664743 7.77209046967099 -231105.777574273
327000 -231113.546031075 7.83696018006776 -231105.709070895
328000 -231113.559963314 7.87794505667392 -231105.682018257
329000 -231113.507378935 7.83489057707369 -231105.672488358
330000 -231113.410784486 7.76927261207896 -231105.641511874
331000 -231113.315988581 7.72203299994802 -231105.593955581
332000 -231113.361350758 7.82137464374618 -231105.539976114
333000 -231113.377133104 7.89650119768045 -231105.480631906
334000 -231113.526951965 8.05126673860692 -231105.475685226
335000 -231113.627125629 8.10575067863272 -231105.52137495
336000 -231113.740190352 8.14811579431939 -231105.592074558
337000 -231113.637767989 7.9786234691891 -231105.65914452
338000 -231113.585527525 7.8973944181275 -231105.688133107
339000 -231113.535049734 7.8470531058539 -231105.687996628
340000 -231113.520424442 7.84441612459773 -231105.676008317
341000 -231113.609460883 7.94820229968316 -231105.661258583
342000 -231113.52216874 7.84603520385073 -231105.676133536
343000 -231113.48103234 7.81714284727249 -231105.663889493
344000 -231113.409834678 7.79126260078954 -231105.618572077
345000 -231113.329015859 7.75763443813201 -231105.571381421
346000 -231113.343930486 7.81623183522778 -231105.527698651
347000 -231113.384641446 7.9172445819054 -231105.467396864
348000 -231113.36937057 7.91593536976787 -231105.4534352
349000 -231113.406807937 7.94065660962914 -231105.466151327
350000 -231113.314948155 7.8223985099293 -231105.492549645
351000 -231113.198569456 7.7139377008155 -231105.484631755
352000 -231113.198121381 7.76406268742531 -231105.434058694
353000 -231113.14585781 7.77798658892477 -231105.367871221
354000 -231113.277543091 7.94547402662509 -231105.332069064
355000 -231113.38769043 8.07867571006667 -231105.30901472
356000 -231113.3962415 8.02660693800669 -231105.369634562
357000 -231113.454612562 8.02655044611797 -231105.428062116
358000 -231113.463368028 7.97902115135947 -231105.484346877
359000 -231113.219402537 7.70221621115794 -231105.517186326
360000 -231113.250123799 7.77413164295957 -231105.475992156
361000 -231113.363390555 7.92858638310414 -231105.434804172
362000 -231113.327253779 7.91146934410667 -231105.415784435
363000 -231113.415583553 7.98235539271924 -231105.43322816
364000 -231113.269897076 7.80001393590071 -231105.46988314
365000 -231113.02238934 7.5804219652596 -231105.441967375
366000 -231113.091630161 7.72556021874289 -231105.366069942
367000 -231113.102776715 7.81868361125976 -231105.284093104
368000 -231113.223396313 7.98858966907972 -231105.234806644
369000 -231113.286643131 8.03578357698547 -231105.250859554
370000 -231113.19940824 7.91221015980761 -231105.28719808
371000 -231113.079997784 7.7826182294592 -231105.297379555
372000 -231113.034599641 7.76325436632339 -231105.271345275
373000 -231113.060392036 7.84239119624768 -231105.21800084
374000 -231113.081735012 7.90160371656412 -231105.180131295
375000 -231113.110298171 7.95572602304774 -231105.154572148
376000 -231113.222786743 8.0601193544583 -231105.162667389
377000 -231113.273310625 8.07217899347449 -231105.201131632
378000 -231113.212978565 7.95839138143483 -231105.254587184
379000 -231113.17527236 7.89480731450776 -231105.280465046
380000 -231113.162323211 7.87781675248982 -231105.284506458
381000 -231113.139317036 7.85795860714763 -231105.281358429
382000 -231113.124139682 7.84503141538854 -231105.279108267
383000 -231113.143474196 7.88346955102362 -231105.260004645
384000 -231113.073750465 7.83645093986121 -231105.237299525
385000 -231112.918398357 7.70853859223371 -231105.209859765
386000 -231112.815522129 7.67006019496259 -231105.145461934
387000 -231112.884764966 7.81420863811227 -231105.070556328
388000 -231112.931394811 7.90112127743831 -231105.030273534
389000 -231113.002119885 7.98262822940923 -231105.019491656
390000 -231112.942281831 7.91596353014925 -231105.026318301
391000 -231112.931693986 7.87889006882263 -231105.052803917
392000 -231112.719725741 7.67951807460786 -231105.040207666
393000 -231112.766735008 7.80013580379136 -231104.966599204
394000 -231112.913893319 8.01060497151549 -231104.903288347
395000 -231113.010644599 8.08488193515356 -231104.925762664
396000 -231113.036891464 8.04822494856392 -231104.988666515
397000 -231113.051343152 8.01939663881092 -231105.031946513
398000 -231112.965862919 7.8956920057298 -231105.070170913
399000 -231112.845524739 7.74159134749711 -231105.103933392
400000 -231112.859083019 7.79461830047903 -231105.064464719
401000 -231112.916080944 7.91165602566601 -231105.004424918
402000 -231112.881494274 7.89765922584036 -231104.983835048
403000 -231112.902732612 7.91383057332756 -231104.988902039
404000 -231112.699225989 7.70638747871059 -231104.99283851
405000 -231112.611693674 7.66050430773189 -231104.951189366
406000 -231112.580119411 7.71766450825537 -231104.862454903
407000 -231112.701483839 7.90392245556603 -231104.797561383
408000 -231112.816419443 8.03553444191586 -231104.780885001
409000 -231112.813448323 8.01654441648934 -231104.796903907
410000 -231112.785939221 7.95491683061925 -231104.83102239
411000 -231112.724256528 7.87500451076218 -231104.849252017
412000 -231112.653639456 7.81070068713524 -231104.842938769
413000 -231112.59645839 7.77981476551534 -231104.816643624
414000 -231112.589504357 7.83444162077558 -231104.755062736
415000 -231112.739264586 8.0177269633742 -231104.721537623
416000 -231112.840828792 8.08204650168384 -231104.75878229
417000 -231112.778203426 7.96299154682334 -231104.815211879
418000 -231112.685266261 7.83063228495146 -231104.854633976
419000 -231112.575987866 7.73119456274182 -231104.844793303
420000 -231112.609047159 7.81183436090705 -231104.797212798
421000 -231112.61529941 7.87749118963464 -231104.73780822
422000 -231112.687430808 7.98141105550255 -231104.706019752
423000 -231112.77931628 8.05094460733653 -231104.728371673
424000 -231112.642648646 7.87620538395002 -231104.766443262
425000 -231112.472758856 7.70563136569958 -231104.76712749
426000 -231112.556370394 7.84106962124698 -231104.715300773
427000 -231112.482255024 7.83085777478014 -231104.651397249
