TimeStep PE_total KE_total ETOT
# Fix print output for fix energy_init
0 -231098.589417314 7.8587111272155 -231090.730706187
# Fix print output for fix energy_out
206000 -231102.322676551 7.90007441908077 -231094.422602132
207000 -231102.323832314 7.93972788070511 -231094.384104433
208000 -231102.393610873 7.97759754218669 -231094.416013331
209000 -231102.421834268 7.98262933031312 -231094.439204938
210000 -231102.438345296 8.02577453095045 -231094.412570765
211000 -231102.312327527 7.90240173877481 -231094.409925788
212000 -231102.335521942 7.97935203219881 -231094.35616991
213000 -231102.390074714 8.02500087524567 -231094.365073839
214000 -231102.120456778 7.83737467832595 -231094.2830821
215000 -231102.277297046 8.00904874477561 -231094.268248301
216000 -231102.137652338 7.89884931676843 -231094.238803021
217000 -231102.243391694 7.92598398690521 -231094.317407707
218000 -231102.205308944 7.90731804250469 -231094.297990901
219000 -231102.36966903 7.9918801965925 -231094.377788833
220000 -231102.302706413 7.99034765862199 -231094.312358754
221000 -231102.292283432 7.96671486397417 -231094.325568568
222000 -231102.274284823 7.98785688421021 -231094.286427939
223000 -231102.361007949 7.99922927664145 -231094.361778672
224000 -231102.139782165 7.95235655217761 -231094.187425613
225000 -231102.159122887 7.93699112140379 -231094.222131766
226000 -231102.193799909 7.98442676414465 -231094.209373145
227000 -231102.108681918 7.92962486823121 -231094.17905705
228000 -231102.311888411 8.04500910228266 -231094.266879309
229000 -231102.144806069 7.93650821518658 -231094.208297854
230000 -231102.150669622 7.91402835945335 -231094.236641263
231000 -231102.104329765 7.90061050984861 -231094.203719255
232000 -231102.193440068 7.97584680572263 -231094.217593262
233000 -231102.22092039 7.96063093463095 -231094.260289455
234000 -231102.267398738 7.94805836786739 -231094.31934037
235000 -231102.219082006 7.99296133010305 -231094.226120676
236000 -231102.191221952 7.95861186762273 -231094.232610084
237000 -231102.221590066 7.90672969350035 -231094.314860373
238000 -231102.212068758 7.99761408343688 -231094.214454675
239000 -231102.12354918 7.92084829862267 -231094.202700881
240000 -231102.107164788 7.98193746519064 -231094.125227323
241000 -231102.2090558 7.99199925175936 -231094.217056548
242000 -231102.129837692 7.97443522568189 -231094.155402466
243000 -231101.964660365 7.91931656096313 -231094.045343804
244000 -231102.129864805 8.01336167338875 -231094.116503132
245000 -231102.059012012 7.94391045313317 -231094.115101559
246000 -231102.021656493 7.95889289144104 -231094.062763602
247000 -231102.098037607 8.03637430097773 -231094.061663306
248000 -231102.087017308 7.947062037951 -231094.13995527
249000 -231102.034140899 7.87419316308633 -231094.159947736
250000 -231101.918767541 7.88654164008335 -231094.032225901
251000 -231102.030305623 7.91186446051054 -231094.118441162
252000 -231102.086429276 8.00442624604087 -231094.08200303
253000 -231102.125014805 7.99785947111971 -231094.127155334
254000 -231102.070185517 7.98667097740966 -231094.08351454
255000 -231101.994504888 7.8957022507115 -231094.098802637
256000 -231102.001381657 7.97826222107715 -231094.023119436
257000 -231102.068338164 8.05084895236724 -231094.017489212
258000 -231101.933375279 7.90628507491428 -231094.027090204
259000 -231101.929711328 7.93651904908047 -231093.993192279
260000 -231101.973602133 7.97983972352109 -231093.993762409
261000 -231102.007286906 7.94200356990688 -231094.065283336
262000 -231101.909015198 7.94210382774613 -231093.96691137
263000 -231101.879193513 7.90948927767358 -231093.969704235
264000 -231101.898416296 7.8793863294299 -231094.019029967
265000 -231102.038072267 8.02035996334925 -231094.017712304
266000 -231101.919983861 7.94861150808108 -231093.971372353
267000 -231101.891616618 7.91558007635529 -231093.976036542
268000 -231102.01888437 8.03963292125773 -231093.979251449
269000 -231101.865713254 7.90599021544054 -231093.959723039
270000 -231101.982350984 8.0402936726917 -231093.942057311
271000 -231101.759527754 7.90114390939069 -231093.858383845
272000 -231101.822944755 7.99026931331612 -231093.832675442
273000 -231101.842996703 7.98822555309695 -231093.85477115
274000 -231101.899701965 8.07093519333626 -231093.828766772
275000 -231101.903830554 8.03032502245717 -231093.873505532
276000 -231101.799276182 7.96287221487183 -231093.836403967
277000 -231101.845166744 7.9868141769045 -231093.858352567
278000 -231101.898815364 7.96920167364325 -231093.92961369
279000 -231101.939975781 8.01625511321832 -231093.923720668
280000 -231101.854162864 7.96325690770878 -231093.890905956
281000 -231101.993791326 8.01850574366077 -231093.975285582
282000 -231101.848280893 7.88923841139983 -231093.959042482
283000 -231101.873433389 7.98643313316082 -231093.887000256
284000 -231101.798570343 7.96971523949129 -231093.828855104
285000 -231101.819934868 7.95913255033392 -231093.860802318
286000 -231101.81049091 7.95347641713027 -231093.857014493
287000 -231101.875217703 8.02482790510506 -231093.850389798
288000 -231101.822777227 7.96851154948146 -231093.854265678
289000 -231101.761633286 7.96652852600038 -231093.79510476
290000 -231101.710169489 7.88310951942232 -231093.82705997
291000 -231101.736084171 7.94387758412528 -231093.792206587
292000 -231101.683989893 7.88500483928697 -231093.798985054
293000 -231101.706441557 7.91965847774114 -231093.786783079
