TimeStep,e,s_raw,s_sm,s_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,e_pol,P_obs,P_sm,R_P,A_P,A_P_norm
410000,0.00815098,0.575059496977581,0.5761855309797081,0.5804344577921471,87.3368201082918,-0.005374960814566121,0.007520992345554752,3.6711130934937915e-05,0.2036350402447841,0.00815098,0.0174,0.01798701298701296,4.559020633046612,0.009839828104443725,0.07675793167184199
415000,0.0082509799999999,0.582425876450128,0.5825881490058844,0.589162861148946,88.72400158387187,-0.006736984698818005,0.008249371073699444,3.749964910589983e-05,0.20800891610717978,,,,,,
420000,0.0083509799999999,0.594813710441548,0.5901809752744478,0.5975725054433981,90.0407922076086,-0.0027587950018501672,0.008139682326275145,3.831910177589857e-05,0.21255438428492748,0.0083509799999999,0.0185,0.019323376623376593,5.103347950750514,0.010806064962822954,0.08429529329717304
425000,0.00845098,0.592480146758797,0.5967470567350117,0.6067683027061225,91.31691871662164,-0.014288155947325465,0.008257467804520248,3.913895928243916e-05,0.21710209807329497,,,,,,
430000,0.00855098,0.604358914875247,0.6069374215497432,0.6160709976089498,92.6080283557266,-0.011712082733702833,0.008587131695933189,3.998118925746182e-05,0.22177391096740223,0.00855098,0.0197,0.021326406926406895,5.895269016697577,0.01190592665956831,0.09287502742170824
435000,0.0086509799999999,0.621262312585073,0.6189888901249687,0.6253904110995261,93.8675074718411,-0.00412809851445306,0.00867476178875902,4.0844283931695576e-05,0.22656145943694236,,,,,,
440000,0.0087509799999999,0.630710279055426,0.6337810980087408,0.6341953720240181,94.92608030090729,-0.0034850929685921184,0.008683904058718274,4.171221722406944e-05,0.23137584751001952,0.0087509799999999,0.025,0.02419783549783546,7.060547028728807,0.0132015082641103,0.10298152148046308
445000,0.00885098,0.650028956555804,0.6490256101478423,0.6427626194375857,95.9036969163471,0.007266337118218225,0.00896149125356097,4.259448698968428e-05,0.23626975937413897,,,,,,
450000,0.00895098,0.665251343816833,0.6634906614532385,0.6513846866988152,96.71806648154961,0.013866657118017822,0.009226486543328338,4.350388587952876e-05,0.2413141553057228,0.00895098,0.0289,0.02712121212121208,8.648931804126557,0.014772456147396631,0.11523607603216923
455000,0.0090509799999999,0.677600079968654,0.6739624600688523,0.6605725035849571,97.61614645991258,0.017027576383696896,0.00915255033406203,4.442283772339735e-05,0.24641154105613308,,,,,,
460000,0.0091509799999999,0.679192223893383,0.6826098180353308,0.6695364588918682,99.1235979749342,0.009655765001514771,0.009151821486363888,4.5338056314418656e-05,0.25148821861601806,0.0091509799999999,0.0291,0.02935411255411251,10.553882048687097,0.016692737532677037,0.1302156900861483
465000,0.00925098,0.694856490388765,0.6898744279119082,0.6792958848052109,101.00489932726757,0.015560605583554099,0.009896141221034133,4.629045444978951e-05,0.25677112948490466,,,,,,
470000,0.00935098,0.690275147908221,0.6972119491171367,0.6890522198429592,103.63928045676543,0.001222928065261808,0.010787232825012467,4.7324623152091834e-05,0.26250761811791506,0.00935098,0.031,0.03090303030303026,12.581151964918034,0.0190062409340387,0.14826272648956845
475000,0.0094509799999999,0.704326140125708,0.7041452052206842,0.6976175601467124,106.7311002714221,0.006708579978995655,0.012096159000536599,4.8468792743368146e-05,0.2688542768786963,,,,,,
480000,0.0095509799999999,0.718272224452518,0.7156543031127579,0.7073714545783881,109.89464342159471,0.010900769874129912,0.013914788202722678,4.97693401035311e-05,0.2760683562950018,0.0095509799999999,0.0314,0.03162683982683978,14.499969078540207,0.02171435303838317,0.16938800242513954
485000,0.00965098,0.723839172111994,0.7244040582506754,0.7181956332569877,113.497111629947,0.005643538855006347,0.015435185871978185,5.123683880726761e-05,0.28420850752390747,,,,,,
490000,0.00975098,0.732243824893976,0.7345228443571055,0.7304094195256446,117.62554541951063,0.0018344053683313488,0.016174867249352912,5.2817341463334156e-05,0.2929754867418863,0.00975098,0.032,0.03208398268398264,16.083142182492622,0.02477266416448797,0.19324508955685196
495000,0.0098509799999999,0.753280562387108,0.7453245868655163,0.7431246278198612,122.35949347432219,0.010155934567246838,0.016262239448296082,5.443919679821499e-05,0.30197184746351585,,,,,,
500000,0.0099509799999999,0.746284098136858,0.7554140904688698,0.756490896098531,127.52691787555564,-0.010206797961673009,0.016185134632538564,5.6061565502256714e-05,0.3109710558214638,0.0099509799999999,0.0336,0.03288181818181814,17.14427390791001,0.028095405773526573,0.2191649298917243
505000,0.01005098,0.764930709898995,0.7660493774131627,0.7702037426995998,132.58876914027596,-0.00527303280060476,0.016122863097229493,5.7676965388746735e-05,0.3199316084527572,,,,,,
510000,0.01015098,0.784932793355397,0.7764387517644795,0.7855778507417263,137.5189434656215,-0.0006450573863292508,0.015704163638480415,5.926831672553225e-05,0.3287587648289588,0.01015098,0.0352,0.03461774891774887,17.57972676673956,0.031567805840993286,0.24625221681247256
515000,0.01025098,0.782387055412831,0.7848156825158901,0.8004597826357513,141.9887307370142,-0.018072727222920304,0.015701381615263073,6.083859398821942e-05,0.33746902423637065,,,,,,
520000,0.01035098,0.794612103751679,0.7948736196220871,0.8154071359198194,145.58615655317894,-0.02079503216814038,0.01541096170922392,6.239421115444376e-05,0.3460979647288602,0.01035098,0.0365,0.03829740259740254,17.500500365435304,0.03507582855421075,0.27361738669819574
525000,0.01045098,0.805981682050788,0.8030289247181894,0.8312129529524329,148.69963102142987,-0.025231270901644898,0.019016833808409187,6.411560093032543e-05,0.35564643864838796,,,,,,
530000,0.01055098,0.812206926201048,0.815563269325901,0.8468124320020446,151.57076120588283,-0.03460550580099664,0.021430736920703356,6.613797946678104e-05,0.366864484079655,0.01055098,0.0419,0.043096969696969634,17.050174284589875,0.03853089601921328,0.3005694665094783
535000,0.01065098,0.829971612791012,0.8367099834492999,0.8627476582763154,154.02077414194827,-0.03277604548530344,0.022774667402057386,6.83482496829191e-05,0.3791247564535244,,,,,,
540000,0.01075098,0.856349301484263,0.8568949387745635,0.8788892641641388,155.81109585358413,-0.02253996267987579,0.023040135024195017,7.063898980423171e-05,0.39183139187754756,0.01075098,0.0511,0.05049567099567093,16.291308258840687,0.04186504427355634,0.3265782871081918
545000,0.01085098,0.886564653731806,0.881422539689196,0.8950299949021201,156.84324430058763,-0.008465341170314056,0.023395201562216483,7.296075663355227e-05,0.40471013109605913,,,,,,
550000,0.01095098,0.911228639276141,0.9035971692903991,0.911739354763391,157.14786694449404,-0.000510715487250013,0.023503376661269938,7.530568554472662e-05,0.41771734937120353,0.01095098,0.0596,0.05992813852813844,15.360704447068105,0.04503024554414723,0.3512691963676659
555000,0.01105098,0.916728790815674,0.9204951777332052,0.9289776658080717,156.82654468699093,-0.012248874992397685,0.023585864825118753,7.766014761904604e-05,0.43077744768603266,,,,,,
560000,0.01115098,0.948567419896896,0.9426376007230114,0.9453904368503383,155.86660943294103,0.0031769830465576687,0.02374772360101082,8.00268270403525e-05,0.44390531509110853,0.01115098,0.0665,0.06916233766233756,14.209560353066781,0.0479872720241607,0.37433618840202854
