Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,delta_sigma_serr,delta_sigma_serr_sm,S_rms,A_sigma,A_sigma_norm,onset_sigma,W_tot,W_serr,phi_serr,align_method,P_parallel,O_parallel,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp,P_parallel_sm,O_parallel_sm,chi_parallel_sm,chi_vec_sm,eta_perp_sm,P_parallel_abs_sm,O_parallel_rel,chi_parallel_rel,dataset
240000.0,-0.162,0.116,-0.000552,-0.188,-0.131,0.00853,7.28e-05,0.0655,0.156,0.011,0.00012,-0.188,0.192,0.163,0.0264,0.162,0.116,0.162,0.257,0.0,0.00475098,0.204002972,0.2052153670259737,0.21214100432834326,-0.008138032328343259,-0.009227556467240303,0.02232540924952435,0.00010728682977339064,0.24818887524207645,0.00195098,0.0005051809775120931,8.411406185954819e-05,,time,0.116,0.116,0.257,0.19924935308301503,0.9999999999913792,0.7752893116040457,0.7363636363619628,0.11482051282051317,0.11482051282051317,0.9999999999912905,0.7714586985312065,0.7390674971258224,0.11482051282051317,0.8219941593599916,0.9999999999974514,Twin
250000.0,-0.162,0.115,4.37e-05,-0.188,-0.128,0.00866,7.5e-05,0.0814,0.144,0.00996,9.93e-05,-0.19,0.196,0.164,0.0269,0.162,0.115,0.164,0.258,0.0,0.00495098,0.252572705,0.24321667530302996,0.22390543430626625,0.02866727069373376,0.025687987356164,0.022268379630121737,0.00011177946241892061,0.2585817766403659,0.00195098,0.0005502608989519197,8.705246493841389e-05,,time,0.115,0.115,0.258,0.19866806967827016,0.9999999999913043,0.770031277819768,0.7392290249416343,0.11342657342657378,0.11342657342657378,0.9999999999911846,0.7711534783379481,0.7419791120337599,0.11342657342657378,0.8120150187676559,0.9999999999973455,Twin
260000.0,-0.163,0.112,0.000688,-0.192,-0.135,0.00838,7.02e-05,0.0582,0.146,0.0109,0.000118,-0.191,0.195,0.165,0.0273,0.163,0.112,0.165,0.258,0.0,0.00515098,0.242255493,0.2414039887575754,0.23343972232555216,0.008815770674447831,0.009598158588715284,0.022646500574769475,0.00011625364577253991,0.2689319989044318,0.00195098,0.0005993577046133916,9.119398087919363e-05,0.15215284658435682,time,0.112,0.112,0.258,0.19777126521312444,0.9999999999910714,0.7665552915207671,0.7454545454528512,0.11208158508158543,0.11208158508158543,0.9999999999910822,0.769886939819596,0.7448944520606064,0.11208158508158543,0.802386316222877,0.9999999999972431,Twin
270000.0,-0.164,0.11,-0.000814,-0.189,-0.135,0.00854,7.29e-05,0.0646,0.144,0.0111,0.000123,-0.193,0.194,0.164,0.027,0.164,0.11,0.164,0.257,0.0,0.00535098,0.216040465,0.22321450725541092,0.24245139163621196,-0.026410926636211973,-0.024332541477258836,0.021767614770399464,0.00012072178795128012,0.27926824599184696,0.00195098,0.0006455563156430452,9.386711093216916e-05,0.1454049920318217,time,0.11,0.11,0.257,0.1974757265994988,0.999999999990909,0.7683880412401962,0.7488584474868747,0.11125641025641059,0.11125641025641059,0.9999999999910135,0.7684606732022289,0.7465969283958379,0.11125641025641059,0.7964789319926314,0.9999999999971744,Twin
280000.0,-0.165,0.11,0.000586,-0.192,-0.133,0.00858,7.36e-05,0.0727,0.144,0.0112,0.000126,-0.192,0.191,0.163,0.0267,0.165,0.11,0.163,0.257,0.0,0.00555098,0.237545916,0.24329251695670961,0.25293647995284946,-0.015390563952849462,-0.012512461739400025,0.022139166240342147,0.00012509673994896703,0.28938891427738983,0.00195098,0.000691635211627677,9.81759097892679e-05,0.14194752976532699,time,0.11,0.11,0.257,0.1983061859751228,0.999999999990909,0.7716194006784094,0.7488584474868747,0.11009557109557144,0.11009557109557144,0.999999999990917,0.7683640484505292,0.749111605858005,0.11009557109557144,0.7881685440077097,0.9999999999970779,Twin
290000.0,-0.166,0.109,0.000268,-0.195,-0.133,0.00858,7.36e-05,0.0654,0.145,0.0111,0.000124,-0.196,0.194,0.164,0.0269,0.166,0.109,0.164,0.258,0.0,0.00575098,0.289486607,0.2828958915497832,0.2645522563376837,0.024934350662316307,0.023743957279668524,0.02149617176529465,0.0001294793991315145,0.2995274117554428,0.00195098,0.0007444323291261619,0.00010069173559481886,0.13525975653557926,time,0.109,0.109,0.258,0.1985876930325744,0.9999999999908257,0.7697197404333516,0.7517084282443013,0.10853379953379988,0.10853379953379988,0.9999999999907905,0.7689711246633384,0.7522995214555197,0.10853379953379988,0.776987901538036,0.9999999999969513,Twin
300000.0,-0.165,0.108,-0.000584,-0.188,-0.138,0.00804,6.46e-05,0.0689,0.145,0.011,0.00012,-0.193,0.191,0.166,0.0276,0.165,0.108,0.166,0.258,0.0,0.00595098,0.293938438,0.28768772175324636,0.2749539908679431,0.018984447132056936,0.015071724627086001,0.02176102599023066,0.00013378517681004133,0.30948805763651865,0.00195098,0.0008020804887133912,0.00010527266219516387,0.13124949886766432,time,0.108,0.108,0.258,0.1972038058861948,0.9999999999907407,0.7643558367652343,0.7539863325723144,0.10763729603729635,0.10763729603729635,0.9999999999907165,0.7688014480439789,0.7541430179952919,0.10763729603729635,0.7705698790099215,0.9999999999968774,Twin
310000.0,-0.166,0.106,0.000753,-0.195,-0.138,0.00803,6.45e-05,0.0638,0.139,0.0109,0.00012,-0.191,0.197,0.165,0.0272,0.166,0.106,0.164,0.257,0.0,0.00615098,0.26242193,0.26724667295670956,0.28387801364773335,-0.021456083647733326,-0.02192019143782432,0.02206913508732697,0.00013818137940639874,0.31965788537801143,0.00195098,0.0008573839096224822,0.00010746341057800551,0.12533873026066364,time,0.106,0.106,0.257,0.19695828748493932,0.999999999990566,0.7663746594714901,0.7568807339432182,0.10664522144522177,0.10664522144522177,0.9999999999906272,0.7679170199644512,0.7563727572806296,0.10664522144522177,0.7634676679127675,0.999999999996788,Twin
320000.0,-0.169,0.105,7e-05,-0.199,-0.14,0.00847,7.18e-05,0.0645,0.14,0.011,0.000121,-0.192,0.194,0.163,0.0266,0.169,0.105,0.163,0.257,0.0,0.00635098,0.271815696,0.2812150937229433,0.29461558559332496,-0.022799889593324962,-0.015632324626038523,0.022493381634251214,0.00014260811670141471,0.32989834967882775,0.00195098,0.0009116693987040838,0.00011201062419512378,0.12286320496700251,time,0.105,0.105,0.257,0.1989623203021115,0.9999999999904762,0.7741724525343865,0.7597254004559274,0.10519417249417282,0.10519417249417282,0.9999999999904934,0.7672054394025122,0.7595668459281957,0.10519417249417282,0.7530796829316154,0.9999999999966542,Twin
330000.0,-0.168,0.105,-0.000938,-0.195,-0.141,0.00826,6.82e-05,0.0658,0.135,0.011,0.000121,-0.188,0.202,0.165,0.0272,0.168,0.105,0.165,0.258,0.0,0.00655098,0.329947474,0.3227409929090904,0.306157394510076,0.02379007948992401,0.021387751144631373,0.022592215034290188,0.00014714038253906925,0.3403829353723511,0.00195098,0.0009721829293205338,0.00011407438806297701,0.11733839858996957,time,0.105,0.105,0.258,0.19811582431496985,0.9999999999904762,0.7678907919155116,0.7602739726010039,0.10371655011655043,0.10371655011655043,0.9999999999903579,0.7658645946546689,0.7625408292716002,0.10371655011655043,0.7425014601532179,0.9999999999965188,Twin
340000.0,-0.166,0.103,0.00124,-0.195,-0.135,0.00846,7.16e-05,0.0527,0.138,0.0117,0.000137,-0.198,0.199,0.168,0.0283,0.166,0.103,0.168,0.258,0.0,0.00675098,0.34161278,0.33217102951515104,0.31667072388552936,0.024942056114470645,0.018151836932997198,0.022753025015850633,0.00015164675966239822,0.3508076321596266,0.00195098,0.0010383078905010534,0.00011887577115145175,0.11448990442910552,time,0.103,0.103,0.258,0.19536257983554578,0.9999999999902912,0.757219301685227,0.7643020594948186,0.10270559440559471,0.10270559440559471,0.9999999999902681,0.7646098600636936,0.7646085837205423,0.10270559440559471,0.7352640800948633,0.999999999996429,Twin
350000.0,-0.17,0.0996,-0.000762,-0.198,-0.138,0.00808,6.54e-05,0.0508,0.135,0.0119,0.000141,-0.192,0.193,0.166,0.0276,0.17,0.0996,0.166,0.258,0.0,0.00695098,0.303579152,0.3091524608701294,0.3262834786844304,-0.022704326684430398,-0.020605300964597215,0.02299656172460184,0.000156252625343579,0.36146247791602404,0.00195098,0.0011023556402449926,0.00012086728232536603,0.10964454474828461,time,0.0996,0.0996,0.258,0.19702979633547818,0.9999999999899598,0.7636813811423043,0.7713498622571825,0.10142447552447584,0.10142447552447584,0.9999999999901454,0.7629449759839679,0.7672688247022861,0.10142447552447584,0.7260926157645161,0.9999999999963063,Twin
360000.0,-0.17,0.0991,0.000262,-0.198,-0.139,0.00846,7.16e-05,0.0535,0.139,0.0115,0.000133,-0.192,0.196,0.165,0.0272,0.17,0.0991,0.165,0.257,0.0,0.00715098,0.308816522,0.3188758720952376,0.33641103181249066,-0.027594509812490675,-0.021453340581436848,0.02314209013455002,0.00016083424441224123,0.37206123347475106,0.00195098,0.001164568849202352,0.00012601807884218453,0.10821007184633015,time,0.0991,0.0991,0.257,0.19677621462971587,0.9999999999899091,0.7656662047819075,0.7717115871901136,0.09970932400932431,0.09970932400932431,0.9999999999899686,0.7614344276524387,0.7708856776418633,0.09970932400932431,0.7138139340791637,0.9999999999961294,Twin
370000.0,-0.168,0.1,0.000333,-0.2,-0.136,0.00832,6.93e-05,0.0615,0.134,0.011,0.000121,-0.192,0.194,0.167,0.0278,0.168,0.1,0.166,0.258,0.0,0.00735098,0.371469663,0.36281443032034577,0.347617487832562,0.023852175167437983,0.018760006096947453,0.02376287420220709,0.0001655315580267286,0.38292762765473887,0.00195098,0.0012326833433469405,0.00012821963907847525,0.10401668828454969,time,0.1,0.1,0.258,0.19550987414706197,0.99999999999,0.7577902098693962,0.769585253454448,0.09818717948717978,0.09818717948717978,0.9999999999898131,0.7602217030696468,0.7738675948840248,0.09818717948717978,0.7029169795527503,0.999999999995974,Twin
380000.0,-0.169,0.0984,-0.000221,-0.201,-0.132,0.00861,7.41e-05,0.0598,0.141,0.0114,0.000131,-0.197,0.197,0.169,0.0285,0.169,0.0984,0.168,0.258,0.0,0.00755098,0.384145933,0.3772070910173155,0.3586553190592742,0.02549061394072577,0.022886203381117298,0.02374946001586351,0.00017026000026607298,0.3938660323359915,0.00195098,0.001307347670754516,0.00013329901985818432,0.10196141610995703,time,0.0984,0.0984,0.258,0.19555973215618802,0.9999999999898374,0.7579834579667831,0.7740009186936748,0.09705174825174853,0.09705174825174853,0.999999999989702,0.7601873768224137,0.7761531932723156,0.09705174825174853,0.6947884856020365,0.9999999999958629,Twin
390000.0,-0.172,0.0937,-0.000109,-0.197,-0.143,0.00824,6.8e-05,0.0545,0.129,0.012,0.000145,-0.194,0.2,0.167,0.0279,0.172,0.0937,0.166,0.258,0.0,0.00775098,0.347016696,0.3539007256103891,0.3682398119939142,-0.021223115993914188,-0.01639179383807554,0.02452123343761388,0.00017510611641794304,0.4050766545490396,0.00195098,0.001380599746192395,0.00013562375558764158,0.09823539078699903,time,0.0937,0.0937,0.258,0.1958665409941167,0.9999999999893275,0.7591726395091378,0.7829511234635559,0.0959041958041961,0.0959041958041961,0.9999999999895783,0.760024604180678,0.7786440236776098,0.0959041958041961,0.6865732165157375,0.9999999999957392,Twin
400000.0,-0.173,0.0926,2.44e-05,-0.198,-0.138,0.00813,6.6e-05,0.0469,0.141,0.012,0.000143,-0.192,0.195,0.166,0.0276,0.173,0.0926,0.166,0.257,0.0,0.00795098,0.351425067,0.35797038746753196,0.3779812446621813,-0.026556177662181324,-0.024637820819806824,0.024604279426891768,0.0001800048857400619,0.416409080446003,0.00195098,0.0014512246781246457,0.00014061461448491562,0.09689375918457074,time,0.0926,0.0926,0.257,0.19622375135380526,0.9999999999892007,0.7635165422297345,0.7854494902669475,0.09417622377622406,0.09417622377622406,0.9999999999893743,0.7578512497889336,0.7821677558231394,0.09417622377622406,0.6742027534369774,0.9999999999955351,Twin
410000.0,-0.171,0.0948,-0.000713,-0.201,-0.14,0.00795,6.31e-05,0.0567,0.131,0.0109,0.00012,-0.193,0.194,0.167,0.028,0.171,0.0948,0.167,0.258,0.0,0.00815098,0.409835975,0.4023062841731596,0.3889497819063462,0.020886193093653804,0.014539679698429599,0.025045259700320274,0.00018500658129597716,0.4279796077600068,0.00195098,0.001526975874409278,0.0001432686241049977,0.09382507379851186,time,0.0948,0.0948,0.258,0.19552122229824567,0.9999999999894514,0.7578341949515033,0.7809611829926503,0.09227972027972056,0.09227972027972056,0.9999999999891547,0.7578930869820449,0.7862042227467505,0.09227972027972056,0.6606257822230571,0.9999999999953155,Twin
420000.0,-0.172,0.0925,0.00058,-0.2,-0.148,0.00813,6.61e-05,0.056,0.126,0.0113,0.000127,-0.205,0.195,0.169,0.0284,0.172,0.0925,0.168,0.259,0.0,0.00835098,0.434092314,0.4228466568831163,0.40038054168024634,0.03371177231975364,0.029201138985067744,0.024979152001086725,0.0001899966617083506,0.4395232655186561,0.00195098,0.0016101633731469395,0.00014847264041509796,0.092209674428825,time,0.0925,0.0925,0.259,0.19529615049969623,0.9999999999891891,0.7540391911156069,0.7861271676282402,0.09086083916083944,0.09086083916083944,0.9999999999889968,0.7577749179452994,0.7892561479180731,0.09086083916083944,0.650468085101728,0.9999999999951577,Twin
