TimeStep,e,s_raw,s_sm,s_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,e_pol,P_obs,P_sm,R_P,A_P,A_P_norm
275000,0.00545098,0.218847556,0.2275354477402594,0.24763231082378592,50.496611544878625,-0.028784754823785924,0.021796129471498393,0.000122899975163375,0.2843070921892633,,,,,,
280000,0.00555098,0.237545916,0.24329251695670961,0.25293647995284946,48.816140464390216,-0.015390563952849462,0.022139166240342147,0.00012509673994896703,0.28938891427738983,0.00555098,0.11,0.10973593073593058,-6.193337831000133,0.02966908922246603,0.2091746185285122
285000,0.00565098,0.268866876,0.2648769707316014,0.2585056859768037,48.51654366980836,0.010361190023196298,0.02200892282265633,0.00012730414440211696,0.2944953493318024,,,,,,
290000,0.00575098,0.289486607,0.2828958915497832,0.2645522563376837,49.94311730931423,0.024934350662316307,0.02149617176529465,0.0001294793991315145,0.2995274117554428,0.00575098,0.109,0.10841991341991326,-6.235118344858539,0.0309119348400519,0.2179369959644701
295000,0.00585098,0.299918053,0.2911897892207788,0.2701376281635491,52.42807272481156,0.029780424836450936,0.02142917790750571,0.00013162566661515453,0.3044924173750363,,,,,,
300000,0.00595098,0.293938438,0.28768772175324636,0.2749539908679431,54.52499473690825,0.018984447132056936,0.02176102599023066,0.00013378517681004133,0.30948805763651865,0.00595098,0.108,0.10762770562770546,-6.237704503288896,0.03215921712486664,0.22673065303183756
305000,0.00605098,0.272200691,0.27556701173593035,0.2796415909468735,55.16460870934532,-0.007440899946873525,0.0220469454247951,0.00013597557538079264,0.3145551526262287,,,,,,
310000,0.00615098,0.26242193,0.26724667295670956,0.28387801364773335,53.96744762342849,-0.021456083647733326,0.02206913508732697,0.00013818137940639874,0.31965788537801143,0.00615098,0.106,0.10685021645021629,-6.356499128577067,0.03341863748805324,0.2356098866362556
315000,0.00625098,0.259079168,0.2686240074761901,0.2890119264547933,51.622308789729104,-0.029932758454793262,0.021986114589370772,0.0001403841418902336,0.3247535820673735,,,,,,
320000,0.00635098,0.271815696,0.2812150937229433,0.29461558559332496,49.62394822943716,-0.022799889593324962,0.022493381634251214,0.00014260811670141471,0.32989834967882775,0.00635098,0.105,0.10539956709956694,-6.4926322595153065,0.03470355062686247,0.24466885078703834
325000,0.00645098,0.307630495,0.30315726284848443,0.3001893414032647,48.88218522489859,0.007441153596735306,0.022779860042274714,0.00014487177878524102,0.33513492669111944,,,,,,
330000,0.00655098,0.329947474,0.3227409929090904,0.306157394510076,49.857346060082115,0.02379007948992401,0.022592215034290188,0.00014714038253906925,0.3403829353723511,0.00655098,0.105,0.10370476190476174,-6.562399505256616,0.03600905380333966,0.25387297993572133
335000,0.00665098,0.339614138,0.33379360059307317,0.3118072638672473,52.15061050005198,0.027806874132752735,0.022391151208219207,0.00014938955085119473,0.34558598363834614,,,,,,
340000,0.00675098,0.34161278,0.33217102951515104,0.31667072388552936,54.38409734853738,0.024942056114470645,0.022753025015850633,0.00015164675966239822,0.3508076321596266,0.00675098,0.103,0.10231558441558428,-6.614589306797106,0.037326752684545036,0.26316309190191106
345000,0.00685098,0.31930443,0.3198157522467528,0.32172044737891936,55.35828399116748,-0.0024160173789193884,0.023183863441581656,0.00015394360408526982,0.35612097057332187,,,,,,
350000,0.00695098,0.303579152,0.3091524608701294,0.3262834786844304,54.69088989770943,-0.022704326684430398,0.02299656172460184,0.000156252625343579,0.36146247791602404,0.00695098,0.0996,0.10146623376623362,-6.742463597009031,0.03866245797492565,0.2725801536285756
