dataset,Time,section,strain,P_parallel,Pabs_parallel_mean,Pmag_mean,chi_parallel,P_parallel_sm,dP_parallel_de,A_P_parallel,A_P_parallel_norm,onset_P_parallel,chi_parallel_sm,dchi_parallel_de,A_chi_parallel,A_chi_parallel_norm,onset_chi_parallel,H_sec_quick,H_sec_chi_quick,P_env_min,P_env_max,chi_env_min,chi_env_max,H_sec_quick_sm,dH_sec_quick_de,A_H_sec_quick,A_H_sec_quick_norm,onset_H_sec_quick,H_sec_chi_quick_sm,dH_sec_chi_quick_de,A_H_sec_chi_quick,A_H_sec_chi_quick_norm,onset_H_sec_chi_quick
Twin,430000.0,yz,0.00855098,0.08826157,0.08826157,0.2578826,0.99999999998867,0.08899376670995658,-7.253231019002617,0.05204895766367478,0.364391322202025,0.00275098,0.9999999999887448,-9.42470576328699e-10,4.252289880976207e-12,4.872298801461088e-12,0.01335098,0.024700619922065625,2.777778007640719e-13,0.08767709,0.0898656,0.9999999999885945,0.9999999999888722,0.03231247854744268,1.3151129312535845,0.010951675676149705,0.005388016514571183,0.01275098,3.63892658193618e-13,3.499750104665691e-11,1.720934423823517e-13,1.1691561922266512e-13,0.01295098
Twin,440000.0,yz,0.00875098,0.08427002,0.08427002,0.2557288,0.9999999999881333,0.0873925812121211,-7.465762276381631,0.05352085699321321,0.37469599239935164,0.00275098,0.9999999999885438,-1.0125539129289357e-09,4.447792329901971e-12,5.096306659402567e-12,0.01335098,0.03396387468154974,3.9690473130772075e-13,0.08427002,0.08718582,0.9999999999881333,0.9999999999885302,0.030368043135590887,1.40347341814982,0.011223534311090046,0.005521765801712447,0.01275098,3.481361423323473e-13,3.990696568459768e-11,1.7958388905547717e-13,1.220044256229526e-13,0.01295098
Twin,450000.0,yz,0.00895098,0.08423025,0.08423025,0.2571341,0.9999999999881277,0.08469373450216439,-7.707295329735231,0.0550381627538249,0.3853185500280111,0.00275098,0.9999999999881858,-1.0917294396273397e-09,4.658220665157599e-12,5.3374166858488536e-12,0.01335098,0.04549736482146503,5.303535388690355e-13,0.08423025,0.08816906,0.9999999999881277,0.9999999999886581,0.029457463583712852,1.4472777745092886,0.011508609430355959,0.005662017348226295,0.01275098,3.445329639706452e-13,4.340474245478327e-11,1.879150598694153e-13,1.2766439721209235e-13,0.01295098
Twin,460000.0,yz,0.00915098,0.08589097,0.08589097,0.2599044,0.9999999999883573,0.0823796866233765,-7.7430122322482315,0.056583193510023236,0.3961352085234957,0.00275098,0.999999999987863,-1.126763447478287e-09,4.88006995386816e-12,5.591612908059676e-12,0.01335098,0.022827609243878597,2.6489921367837625e-13,0.08514372,0.08710798,0.9999999999882551,0.99999999998852,0.025966435047020158,1.4239701813933032,0.011795734225946215,0.005803277296578515,0.01275098,3.066623434298602e-13,4.2444168905178186e-11,1.964999510054114e-13,1.3349673950956439e-13,0.01295098
Twin,470000.0,yz,0.00935098,0.08163607,0.08163607,0.2578797,0.9999999999877505,0.08198062497835487,-7.825483564682067,0.05814004308971627,0.40703460982332107,0.00275098,0.999999999987794,-1.1850293320580571e-09,5.111249231821795e-12,5.856499486920465e-12,0.01335098,0.013374646110021786,1.6286971771432772e-13,0.08163607,0.0827362,0.9999999999877505,0.9999999999879133,0.019042093853600082,2.328153076890142,0.01217094655177456,0.005987874637461837,0.01275098,2.251090127218308e-13,-0.04380944286824036,4.380944487568415e-06,2.976294915445942e-06,0.01295098
Twin,480000.0,yz,0.00955098,0.07870461,0.07870461,0.2569382,0.9999999999872942,0.0820535663203462,-8.071794598864358,0.05972977090607092,0.4181641894911017,0.00275098,0.9999999999878204,-1.2975206154152877e-09,5.3595042265691305e-12,6.140951522699006e-12,0.01335098,0.012748990644808608,1.6109336087498195e-13,0.07870461,0.07971495,0.9999999999872942,0.9999999999874553,0.016980983652234747,4.640147214889875,0.012867776580952563,0.0063307017824654754,0.01275098,2.0555130469524973e-13,-0.010222203243400235,9.78410909873249e-06,6.647058470007863e-06,0.01295098
Twin,490000.0,yz,0.00975098,0.08010799,0.08010799,0.2574773,0.9999999999875168,0.08027979047619035,-8.361485921740552,0.0613730989581314,0.42966902087641706,0.00275098,0.9999999999875321,-1.4306216559745242e-09,5.63231845370811e-12,6.453543671662667e-12,0.01335098,0.012575761176648794,1.5576429035668863e-13,0.08010799,0.08112039,0.9999999999875168,0.9999999999876725,0.016003619056441536,7.392495470965805,0.014071040849538124,0.006922684958579008,0.01275098,2.0170589585548514e-13,0.07228491722294005,1.803482114536647e-05,1.2252368553915153e-05,0.01295098
Twin,500000.0,yz,0.00995098,0.08237489,0.08237489,0.2599997,0.9999999999878603,0.07859656125541115,-8.392762478214504,0.06304852379812691,0.44139855975865594,0.00275098,0.99999999998726,0.008134028087917392,8.134085841723605e-07,9.320083486056505e-07,0.01335098,0.0220365844939867,2.701172618943498e-13,0.08058144,0.08237489,0.9999999999875901,0.9999999999878603,0.022634528349043684,10.396153887189868,0.015849905785353696,0.00779785273516309,0.01275098,2.9212755351199117e-13,0.17446999935042196,4.2710312802702735e-05,2.9016228622048875e-05,0.01295098
Twin,510000.0,yz,0.01015098,0.07885201,0.07885201,0.259697,0.9999999999873179,0.07764582606060594,-8.407853554562331,0.0647285854014046,0.45316056031503726,0.00275098,0.999999999987094,0.08781076989438151,1.0407888382402277e-05,1.1925419835130741e-05,0.01335098,0.04007915039615903,5.179190409938286e-13,0.07575804,0.07885201,0.9999999999868,0.9999999999873179,0.027663097430893062,13.30288673440742,0.01821980984751343,0.008963800541001989,0.01275098,3.609267766856082e-13,0.20870061832685854,8.102737457043089e-05,5.504780159398018e-05,0.01295098
Twin,520000.0,yz,0.01035098,0.07139177,0.07139177,0.2571489,0.9999999999859926,0.07669208207792197,-8.673547534997422,0.06643672551036056,0.4651191366390963,0.00275098,0.9999999999869689,0.02106759033832469,2.129572440567283e-05,2.4400766505171838e-05,0.01335098,0.0221637437318393,3.06421554800492e-13,0.07139177,0.07298795,0.9999999999859926,0.9999999999862991,0.025873921194606533,16.840903177789276,0.021234188838733084,0.010446817776550547,0.01275098,3.3248872630982455e-13,0.19002859145909187,0.0001209002955490257,8.213638313371974e-05,0.01295098
