TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,E_t,stress_pred_M2,resid_M2
1670000,83.3775,0.002665566,-0.00664902,0.002773921,-0.001708609,-0.719470706,-0.003111323,-17.82135598,-1.77227634,-13.74455514,-0.04518585,0.1144991,-0.004120975,-0.1872409,0.1813087,0.1370007,0.01876918,0.08201283,0.1442323,0.009449211,8.928758e-05,-0.1939347,0.1937602,0.155753,0.02425899,0.1430861,0.1144991,0.1549004,0.2410685,0.0,0.00664902,0.719470706,0.013199331480810001,0.11488834353758436,0.7665039579524161,0.2334960420475839,0.7212230149090909,-0.0017523089090909494,0.0016686513256940134,0.008099187923522237,,0.8927993594304383,-0.17332865343043835
1680000,83.8775,0.002610111,-0.00644902,0.002645048,-0.000629005,-0.705474569,-0.00374512,-17.81936291,-1.665653093,-13.72682021,-0.04486334,0.1157888,-0.003671415,-0.1884983,0.1898316,0.1356152,0.01839148,0.08751405,0.1461292,0.008803332,7.749866e-05,-0.1949377,0.1926988,0.156017,0.0243413,0.1416885,0.1157888,0.1551382,0.2409908,0.0,0.00644902,0.705474569,0.013484544865439999,0.11612297303049039,0.7830667049746981,0.2169332950253019,0.7078124785454547,-0.002337909545454653,0.0017434904525173015,0.022388780117710366,,0.8869759181616164,-0.1815013491616163
1690000,84.3775,0.002510334,-0.00624902,0.002564778,-0.001129305,-0.695496101,-0.003018294,-17.79600501,-1.540702939,-13.73883612,-0.04502324,0.1170932,-0.004065291,-0.1853164,0.1831318,0.1357704,0.0184336,0.0835257,0.1510315,0.009148244,8.369036e-05,-0.1885067,0.1925565,0.1552007,0.02408727,0.1418987,0.1170932,0.1542892,0.2412359,0.0,0.00624902,0.695496101,0.013794507846239997,0.11745002275964019,0.8010666962581466,0.19893330374185336,0.6946803301818182,0.000815770818181849,0.0017433428932184583,0.013789991337627913,,0.8843212274873262,-0.1888251264873262
1700000,84.8775,0.002434508,-0.00604902,0.002469052,-0.001564714,-0.68416036,-0.003432888,-17.79874826,-1.42470796,-13.72386115,-0.04454946,0.1189623,-0.003748972,-0.1818456,0.1841979,0.1351032,0.01825287,0.08521326,0.1476608,0.008947654,8.006051e-05,-0.1916983,0.1947161,0.1551383,0.02406788,0.1411199,0.1189623,0.1542377,0.2416288,0.0,0.00604902,0.68416036,0.014232089331290002,0.1192983207396064,0.8264776756479105,0.17352232435208947,0.6816598996363636,0.002500460363636381,0.0017044036810241908,0.024493791491756074,,0.8980058422480737,-0.21384548224807365
1710000,85.3775,0.002323514,-0.00584902,0.002392458,-0.002339656,-0.669291235,-0.002850635,-17.76869781,-1.32608398,-13.72714353,-0.04463538,0.1192534,-0.00361779,-0.1860319,0.1887086,0.1350963,0.01825101,0.0908494,0.1433713,0.008916051,7.949597e-05,-0.1923759,0.1977039,0.1546648,0.02392121,0.1410712,0.1192534,0.1538012,0.2414912,0.0,0.00584902,0.669291235,0.014300869381559998,0.11958624244268233,0.8304718310213676,0.16952816897863243,0.6688443480909092,0.0004468869090907823,0.0015455646636330675,0.024421800982991956,,0.8644719182619183,-0.1951806832619183
1720000,85.8775,0.002198373,-0.00564902,0.002344962,-0.001376883,-0.65815292,-0.002232549,-17.75155598,-1.210208387,-13.7351103,-0.04432261,0.1205264,-0.003931833,-0.1803019,0.1806079,0.1340279,0.01796349,0.08958547,0.1522772,0.009269401,8.59218e-05,-0.1936929,0.1934384,0.1537784,0.02364779,0.1400331,0.1205264,0.1528647,0.2409025,0.0,0.00564902,0.65815292,0.014612534896960001,0.1208823183801502,0.8485706909112566,0.1514293090887434,0.6556242538181819,0.002528666181818129,0.0017228315268886009,0.008850214398663021,,0.8620352072059185,-0.2038822872059185
1730000,86.3775,0.002191709,-0.00544902,0.002179469,-0.000142768,-0.640887721,-0.003613568,-17.74073407,-1.11934749,-13.72207109,-0.04444623,0.1216242,-0.00376481,-0.1824705,0.1767021,0.1346391,0.01812769,0.09110919,0.1499134,0.00871687,7.598382e-05,-0.1916555,0.1929922,0.1537665,0.02364413,0.1406469,0.1216242,0.1528873,0.2418032,0.0,0.00544902,0.640887721,0.01486842984564,0.12193617119476895,0.8634308746461993,0.13656912535380072,0.6425659603636364,-0.0016782393636364246,0.0018391301201095291,0.01653467038603425,,0.8524580557468706,-0.2115703347468706
1740000,86.8775,0.002078893,-0.00524902,0.002099109,-0.001771018,-0.629867908,-0.004143492,-17.72936609,-1.014580882,-13.72234681,-0.04473478,0.1228801,-0.003755734,-0.1860495,0.1791419,0.1337442,0.01788751,0.08903761,0.1557146,0.00938819,8.81381e-05,-0.1876173,0.1909354,0.1530633,0.02342836,0.1398029,0.1228801,0.152209,0.2415716,0.0,0.00524902,0.629867908,0.01518765707601,0.12323821272645105,0.881968854082547,0.118031145917453,0.6300300131818183,-0.00016210518181825062,0.0017283828000071721,0.026411875077768248,,0.8509894893281518,-0.22112158132815174
1750000,87.3775,0.001959124,-0.00504902,0.002048179,-0.001147468,-0.616010799,-0.003028833,-17.71600444,-0.909835791,-13.71413533,-0.04483403,0.1240858,-0.003474404,-0.1800182,0.1759626,0.133656,0.01786392,0.09494422,0.1531215,0.008622033,7.433946e-05,-0.1861706,0.1944047,0.1528032,0.02334883,0.139813,0.1240858,0.1518836,0.241969,0.0,0.00504902,0.616010799,0.015471625221639999,0.12438498792716104,0.8984592883044812,0.10154071169551881,0.6171779800909092,-0.0011671810909091862,0.0017160357720820353,0.011808565038474885,,0.845006617101569,-0.228995818101569
1760000,87.8775,0.001888754,-0.00484902,0.001928529,-0.000714347,-0.604032664,-0.003531727,-17.70073645,-0.804522596,-13.71954373,-0.04366898,0.1249354,-0.003931595,-0.1847663,0.1759229,0.132707,0.01761116,0.09360532,0.15809,0.008900215,7.921382e-05,-0.1945505,0.1893318,0.152501,0.02325655,0.1385077,0.1249354,0.1516101,0.2414912,0.0,0.00484902,0.604032664,0.01568806799316,0.12525201792051097,0.9110284279826135,0.08897157201738648,0.6040676731818182,-3.5009181818201895e-05,0.001633586738589594,0.02612236414668516,,0.8303783080812976,-0.22634564408129765
